#XYS200,DPSD2018,COEF,11,11,125,20,1000,0.503187219885432,0.00000
#2019/12/12 12:26:32
#E-defense2019-実験後
LEDNo12,　横付け
2368mm
#Xtrue,Ytrue,V1,V2,V3,V4
-625,-625,2539,533,190,511
-625,-625,2539,533,190,511
-625,-625,2539,534,190,511
-625,-625,2540,533,190,511
-625,-625,2540,533,190,511
-625,-625,2540,534,190,511
-625,-625,2539,533,190,512
-625,-625,2539,533,190,511
-625,-625,2540,533,190,511
-625,-625,2539,533,190,511
-625,-625,2539,533,190,511
-625,-625,2540,534,190,511
-625,-625,2540,533,190,511
-625,-625,2539,533,190,511
-625,-625,2539,533,190,511
-625,-625,2540,534,190,511
-625,-625,2539,533,190,511
-625,-625,2539,533,191,511
-625,-625,2539,533,190,511
-625,-625,2539,533,190,511
-500,-625,2678,561,253,781
-500,-625,2678,561,254,781
-500,-625,2678,560,253,781
-500,-625,2678,560,253,781
-500,-625,2678,561,253,781
-500,-625,2678,561,253,781
-500,-625,2678,560,253,781
-500,-625,2678,561,253,781
-500,-625,2678,560,253,781
-500,-625,2678,560,253,781
-500,-625,2677,560,254,781
-500,-625,2678,560,253,781
-500,-625,2677,560,253,782
-500,-625,2678,560,253,781
-500,-625,2677,560,253,781
-500,-625,2677,561,253,781
-500,-625,2677,560,253,781
-500,-625,2677,560,253,782
-500,-625,2677,561,253,780
-500,-625,2677,560,253,781
-375,-625,2477,533,302,1026
-375,-625,2477,533,302,1025
-375,-625,2477,533,302,1026
-375,-625,2476,533,302,1025
-375,-625,2476,533,302,1025
-375,-625,2476,533,302,1026
-375,-625,2477,534,302,1025
-375,-625,2477,533,302,1025
-375,-625,2477,533,302,1025
-375,-625,2476,533,302,1025
-375,-625,2476,534,302,1025
-375,-625,2476,533,302,1025
-375,-625,2476,533,302,1025
-375,-625,2476,533,302,1025
-375,-625,2476,533,302,1025
-375,-625,2476,533,301,1026
-375,-625,2476,533,302,1025
-375,-625,2476,533,302,1025
-375,-625,2476,533,302,1025
-375,-625,2476,533,302,1025
-250,-625,2242,498,344,1261
-250,-625,2242,499,344,1261
-250,-625,2242,499,344,1261
-250,-625,2242,498,344,1261
-250,-625,2242,499,344,1261
-250,-625,2242,499,345,1261
-250,-625,2242,499,345,1261
-250,-625,2242,498,344,1261
-250,-625,2242,499,344,1261
-250,-625,2242,499,344,1261
-250,-625,2241,498,344,1261
-250,-625,2242,499,344,1261
-250,-625,2241,498,344,1261
-250,-625,2241,498,344,1261
-250,-625,2242,499,344,1261
-250,-625,2242,498,344,1261
-250,-625,2242,499,345,1261
-250,-625,2241,498,344,1261
-250,-625,2241,499,345,1261
-250,-625,2241,499,344,1261
-125,-625,1996,461,383,1492
-125,-625,1996,461,384,1491
-125,-625,1996,461,384,1492
-125,-625,1996,461,384,1491
-125,-625,1996,461,384,1492
-125,-625,1996,462,384,1492
-125,-625,1996,461,383,1491
-125,-625,1996,462,383,1492
-125,-625,1996,462,383,1492
-125,-625,1996,461,383,1492
-125,-625,1996,462,383,1491
-125,-625,1997,462,384,1492
-125,-625,1997,462,383,1491
-125,-625,1996,462,383,1491
-125,-625,1996,461,383,1491
-125,-625,1996,461,383,1491
-125,-625,1996,462,384,1491
-125,-625,1996,462,384,1492
-125,-625,1996,462,384,1491
-125,-625,1997,461,384,1491
0,-625,1745,423,419,1712
0,-625,1745,423,419,1712
0,-625,1745,423,419,1712
0,-625,1745,423,419,1712
0,-625,1745,423,419,1712
0,-625,1744,423,419,1713
0,-625,1745,423,419,1712
0,-625,1745,423,419,1712
0,-625,1744,423,419,1712
0,-625,1745,423,419,1712
0,-625,1745,423,419,1712
0,-625,1745,423,419,1713
0,-625,1745,424,419,1713
0,-625,1745,423,419,1712
0,-625,1745,423,419,1712
0,-625,1745,423,419,1713
0,-625,1745,423,420,1712
0,-625,1745,423,419,1713
0,-625,1745,423,419,1713
0,-625,1745,423,419,1713
125,-625,1494,382,451,1924
125,-625,1494,382,450,1925
125,-625,1494,382,451,1925
125,-625,1494,383,451,1924
125,-625,1495,382,451,1925
125,-625,1494,382,450,1924
125,-625,1494,383,451,1924
125,-625,1494,382,451,1925
125,-625,1494,382,451,1924
125,-625,1495,382,451,1925
125,-625,1494,383,451,1925
125,-625,1494,383,451,1924
125,-625,1494,382,451,1925
125,-625,1494,382,451,1925
125,-625,1494,382,451,1925
125,-625,1494,382,451,1925
125,-625,1494,383,451,1924
125,-625,1495,382,451,1924
125,-625,1495,383,451,1924
125,-625,1494,383,451,1925
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,337,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
250,-625,1240,336,475,2116
375,-625,982,285,489,2269
375,-625,982,285,489,2268
375,-625,982,285,489,2269
375,-625,982,285,489,2269
375,-625,982,284,489,2269
375,-625,982,285,489,2268
375,-625,983,285,489,2269
375,-625,982,284,489,2269
375,-625,982,285,489,2268
375,-625,982,285,489,2269
375,-625,982,285,489,2268
375,-625,982,285,488,2268
375,-625,982,285,489,2268
375,-625,982,285,489,2269
375,-625,982,285,489,2268
375,-625,982,285,489,2268
375,-625,982,285,489,2269
375,-625,982,285,489,2269
375,-625,982,285,489,2268
375,-625,982,285,489,2268
500,-625,728,231,492,2368
500,-625,728,232,492,2368
500,-625,728,231,492,2368
500,-625,727,231,492,2368
500,-625,728,231,492,2368
500,-625,728,231,492,2368
500,-625,727,231,492,2368
500,-625,728,231,492,2368
500,-625,728,232,493,2369
500,-625,728,232,492,2368
500,-625,728,231,492,2368
500,-625,728,232,492,2368
500,-625,728,231,492,2368
500,-625,728,231,492,2368
500,-625,728,232,493,2368
500,-625,728,232,492,2368
500,-625,728,231,493,2368
500,-625,728,231,492,2368
500,-625,728,231,493,2368
500,-625,728,232,492,2368
625,-625,481,174,462,2258
625,-625,481,174,462,2257
625,-625,481,174,463,2258
625,-625,481,174,462,2257
625,-625,481,174,463,2257
625,-625,481,175,462,2257
625,-625,481,174,463,2257
625,-625,481,174,463,2257
625,-625,481,174,462,2257
625,-625,481,174,462,2257
625,-625,481,174,463,2257
625,-625,481,174,463,2258
625,-625,481,174,462,2257
625,-625,481,175,463,2258
625,-625,481,174,463,2258
625,-625,481,175,463,2257
625,-625,481,175,463,2257
625,-625,481,174,462,2258
625,-625,481,175,463,2258
625,-625,481,174,463,2258
-625,-500,2694,820,260,556
-625,-500,2694,820,260,556
-625,-500,2694,820,259,556
-625,-500,2695,821,260,556
-625,-500,2694,820,259,556
-625,-500,2694,820,259,556
-625,-500,2694,820,259,556
-625,-500,2694,821,259,556
-625,-500,2694,821,260,556
-625,-500,2694,820,260,556
-625,-500,2694,820,260,556
-625,-500,2694,821,260,556
-625,-500,2694,820,260,556
-625,-500,2694,820,260,556
-625,-500,2694,820,259,556
-625,-500,2694,820,259,556
-625,-500,2694,820,259,556
-625,-500,2693,820,259,556
-625,-500,2694,820,259,556
-625,-500,2694,820,260,556
-500,-500,2743,838,340,824
-500,-500,2743,838,341,824
-500,-500,2743,838,340,824
-500,-500,2743,838,340,824
-500,-500,2743,838,341,824
-500,-500,2743,838,340,824
-500,-500,2743,838,341,824
-500,-500,2743,837,340,824
-500,-500,2743,838,341,824
-500,-500,2743,838,340,824
-500,-500,2743,838,340,824
-500,-500,2743,838,340,824
-500,-500,2744,838,341,824
-500,-500,2743,837,340,825
-500,-500,2743,838,340,824
-500,-500,2743,837,340,824
-500,-500,2743,837,341,824
-500,-500,2743,838,340,824
-500,-500,2743,838,341,824
-500,-500,2743,838,340,824
-375,-500,2536,783,409,1075
-375,-500,2536,784,409,1075
-375,-500,2536,784,409,1075
-375,-500,2535,784,409,1076
-375,-500,2535,784,409,1075
-375,-500,2536,784,409,1075
-375,-500,2536,783,409,1076
-375,-500,2535,783,409,1075
