#XYS200,DPSD2018,COEF,11,11,125,20,1000,0.573023625623979,0.00000
#2019/11/09 13:19:52
#E-defense2019-実験前
LEDNo10,　横付け
2707mm
#Xtrue,Ytrue,V1,V2,V3,V4
-625,-625,3357,984,325,746
-625,-625,3357,984,325,746
-625,-625,3357,985,325,746
-625,-625,3357,984,325,746
-625,-625,3357,984,324,746
-625,-625,3357,985,324,746
-625,-625,3357,985,324,746
-625,-625,3357,985,325,746
-625,-625,3357,984,325,746
-625,-625,3357,984,324,746
-625,-625,3357,984,325,746
-625,-625,3357,984,324,747
-625,-625,3357,984,325,746
-625,-625,3357,984,325,745
-625,-625,3357,984,325,746
-625,-625,3357,984,324,746
-625,-625,3357,984,325,746
-625,-625,3357,984,325,747
-625,-625,3357,984,325,746
-625,-625,3357,984,324,746
-500,-625,3357,976,407,1038
-500,-625,3358,976,407,1038
-500,-625,3357,976,407,1037
-500,-625,3357,976,406,1037
-500,-625,3357,976,407,1038
-500,-625,3357,976,407,1038
-500,-625,3357,976,406,1038
-500,-625,3358,976,406,1038
-500,-625,3358,976,406,1038
-500,-625,3358,976,406,1038
-500,-625,3358,976,407,1038
-500,-625,3357,976,407,1038
-500,-625,3357,976,407,1037
-500,-625,3357,976,407,1038
-500,-625,3357,976,406,1038
-500,-625,3358,975,406,1038
-500,-625,3357,976,407,1038
-500,-625,3357,976,407,1037
-500,-625,3357,976,407,1038
-500,-625,3358,976,407,1038
-375,-625,3228,944,488,1338
-375,-625,3227,944,488,1337
-375,-625,3228,945,487,1337
-375,-625,3228,944,488,1337
-375,-625,3227,944,488,1337
-375,-625,3228,944,488,1338
-375,-625,3228,945,488,1337
-375,-625,3228,944,487,1337
-375,-625,3228,944,488,1337
-375,-625,3227,944,488,1337
-375,-625,3228,944,488,1337
-375,-625,3227,944,488,1337
-375,-625,3228,944,488,1337
-375,-625,3228,944,487,1337
-375,-625,3227,944,487,1337
-375,-625,3228,945,488,1337
-375,-625,3228,944,488,1337
-375,-625,3228,944,488,1337
-375,-625,3228,944,488,1337
-375,-625,3228,944,488,1337
-250,-625,3040,902,568,1643
-250,-625,3041,902,568,1642
-250,-625,3040,902,568,1643
-250,-625,3040,902,568,1643
-250,-625,3041,902,568,1642
-250,-625,3040,902,568,1643
-250,-625,3040,903,568,1642
-250,-625,3040,902,568,1642
-250,-625,3040,902,568,1642
-250,-625,3040,902,568,1642
-250,-625,3040,902,568,1643
-250,-625,3040,902,567,1643
-250,-625,3040,902,568,1642
-250,-625,3041,902,567,1642
-250,-625,3040,902,568,1643
-250,-625,3040,902,568,1642
-250,-625,3040,902,567,1642
-250,-625,3040,902,568,1642
-250,-625,3040,902,568,1642
-250,-625,3040,902,568,1642
-125,-625,2808,849,644,1943
-125,-625,2808,849,644,1944
-125,-625,2808,848,644,1944
-125,-625,2808,849,644,1943
-125,-625,2808,848,644,1944
-125,-625,2808,849,644,1943
-125,-625,2808,849,644,1943
-125,-625,2808,849,644,1943
-125,-625,2808,849,644,1943
-125,-625,2808,849,644,1944
-125,-625,2808,849,644,1944
-125,-625,2808,849,643,1943
-125,-625,2808,849,644,1944
-125,-625,2808,849,644,1943
-125,-625,2808,849,644,1944
-125,-625,2808,849,643,1943
-125,-625,2808,849,644,1943
-125,-625,2808,849,644,1944
-125,-625,2808,849,644,1944
-125,-625,2808,849,644,1943
0,-625,2550,789,717,2242
0,-625,2550,789,717,2242
0,-625,2551,788,717,2243
0,-625,2550,788,717,2243
0,-625,2550,789,717,2242
0,-625,2550,788,717,2242
0,-625,2550,789,717,2242
0,-625,2550,789,717,2243
0,-625,2550,788,717,2243
0,-625,2550,788,717,2242
0,-625,2551,789,716,2242
0,-625,2550,788,717,2243
0,-625,2550,789,717,2242
0,-625,2550,789,717,2242
0,-625,2550,789,717,2242
0,-625,2551,789,717,2243
0,-625,2550,788,717,2243
0,-625,2550,788,717,2242
0,-625,2550,789,716,2242
0,-625,2550,788,717,2243
125,-625,2287,726,789,2551
125,-625,2287,726,789,2550
125,-625,2288,725,789,2551
125,-625,2288,725,789,2551
125,-625,2287,725,789,2550
125,-625,2288,726,789,2551
125,-625,2287,725,789,2551
125,-625,2288,725,789,2551
125,-625,2288,726,789,2551
125,-625,2288,725,789,2551
125,-625,2287,726,789,2550
125,-625,2288,726,789,2550
125,-625,2288,725,789,2551
125,-625,2288,725,789,2551
125,-625,2287,726,789,2550
125,-625,2287,726,789,2550
125,-625,2287,726,789,2550
125,-625,2288,726,789,2551
125,-625,2287,725,789,2550
125,-625,2288,726,789,2550
250,-625,2035,665,866,2885
250,-625,2035,665,865,2885
250,-625,2035,664,866,2886
250,-625,2035,665,865,2885
250,-625,2035,665,865,2885
250,-625,2035,665,865,2885
250,-625,2035,665,866,2885
250,-625,2035,665,866,2885
250,-625,2035,665,866,2885
250,-625,2035,665,866,2885
250,-625,2035,665,865,2885
