,T [s],r_x,r_y,x_raw,y_raw,V1(Y1),V2(X2),V3(Y2),V4(X1),x-axis coefficient: a,x-axis offset: b,y-axis coefficient: a,y-axis offset: b
0,0.0,2.055865105615668,4.292647369020321,0.006513647642679901,-0.009305210918114143,1638,1607,1587,1616,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
1,0.02,1.8940765294681459,4.129030454982974,0.006673909669408661,-0.009467639298463448,1637,1606,1585,1615,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
2,0.04,2.0599417902502353,3.6739592235040703,0.006509609423434594,-0.009919404835709857,1640,1607,1587,1618,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
3,0.06,2.219390307900656,3.8346553105845054,0.0063516653756777695,-0.00975987606506584,1640,1608,1588,1619,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
4,0.08,1.9066016682288662,3.8346553105845054,0.006661502711076685,-0.00975987606506584,1641,1608,1588,1618,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
5,0.1,2.055865105615668,3.6677607198545648,0.006513647642679901,-0.009925558312655087,1639,1606,1586,1617,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
6,0.12,2.678428508610791,3.66155452098017,0.005896958410924891,-0.009931719428926133,1637,1604,1586,1617,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
7,0.14,2.2174029633746146,3.8316082652425187,0.0063536339686967305,-0.009762900976290097,1640,1607,1588,1618,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
8,0.16,2.06401342323098,3.680150046232077,0.006505576208178439,-0.009913258983890954,1641,1608,1588,1619,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
9,0.18,2.2174029633746146,3.8316082652425187,0.0063536339686967305,-0.009762900976290097,1640,1607,1588,1618,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
10,0.2,1.9003449253977829,3.825508504757936,0.006667700418669561,-0.009768956427353079,1639,1607,1586,1617,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
11,0.22,2.2074477337334573,3.816344663129737,0.006363495266180351,-0.009778053701691759,1637,1605,1585,1616,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
12,0.24,2.2154143865779012,3.8285593305529293,0.0063556037823593245,-0.009765927763137498,1639,1607,1587,1618,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
13,0.26,1.9086846652098002,3.8377004683345195,0.006659439368127613,-0.009756853027721852,1641,1609,1588,1619,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
14,0.28,2.374815341589443,3.6770555940906835,0.006197706848466067,-0.009916330957545709,1640,1607,1588,1619,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
15,0.3,2.0538248659893714,3.977198849568664,0.006515668631709587,-0.009618367980142725,1638,1606,1586,1616,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
16,0.32,1.8961672915757353,4.131989932609514,0.006671838634600465,-0.009464701318851822,1638,1606,1586,1615,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
17,0.34,2.0599417902502353,3.6739592235040703,0.006509609423434594,-0.009919404835709857,1640,1607,1587,1618,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
18,0.36,2.066047348284539,3.9952020981105125,0.006503561474140601,-0.00960049550944565,1641,1609,1589,1619,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
19,0.38,2.0619782376102984,3.989208453853683,0.006507592190889371,-0.009606445615122404,1640,1608,1588,1618,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
20,0.4,2.2134245763640417,3.825508504757936,0.006357574817801209,-0.009768956427353079,1639,1606,1587,1617,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
21,0.42,2.2094412510918557,3.819401172809606,0.006361520558572537,-0.009775019394879752,1638,1605,1586,1616,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
22,0.44,1.902431799524515,3.8285593305529293,0.00666563323515734,-0.009765927763137498,1640,1607,1587,1617,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
23,0.46,2.06401342323098,3.680150046232077,0.006505576208178439,-0.009913258983890954,1641,1608,1588,1619,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
24,0.48,2.0619782376102984,3.989208453853683,0.006507592190889371,-0.009606445615122404,1640,1608,1588,1618,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
25,0.5,1.8982567564833186,4.1349475740470485,0.006669768884752598,-0.009461765162090895,1638,1607,1586,1616,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
26,0.52,2.2074477337334573,3.816344663129737,0.006363495266180351,-0.009778053701691759,1637,1605,1585,1616,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
27,0.54,1.902431799524515,4.140857355186382,0.00666563323515734,-0.009455898310339482,1639,1608,1587,1617,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
28,0.56,1.75127323285282,3.9922062043656563,0.006815365551425031,-0.009603469640644362,1641,1609,1588,1618,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
29,0.58,1.749141133631153,3.6770555940906835,0.006817477533312674,-0.009916330957545709,1641,1608,1587,1618,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
30,0.6,2.2114335315851337,4.1349475740470485,0.006359547076159454,-0.009461765162090895,1638,1606,1587,1616,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
31,0.62,2.051783359920102,3.66155452098017,0.006517690875232775,-0.009931719428926133,1638,1605,1585,1616,-1009.5253345406992,8.631557421172332,1007.3172784551975,13.66594710650665
