75,FF0A,2006,2D06,3B06,8206
0C,0A21,062E,063C,0681,0675
0C,0A22,062D,0639,0681,0675
0C,0A23,062B,0638,0680,0673
0C,0A24,062B,0638,067F,0673
0C,0A25,062E,063B,0682,0676
0C,0A26,062E,063C,0682,0676
0C,0A27,062D,063A,0681,0675
0C,0A28,062B,0638,0680,0674
0C,0A29,062B,0638,0680,0673
0C,0A2A,062E,063B,0681,0676
0C,0A2B,062E,063B,0682,0676
0C,0A2C,062D,063A,0681,0674
0C,0A2D,062C,0639,0680,0673
0C,0A2E,062B,0638,0680,0673
0C,0A2F,062D,063B,0681,0675
0C,0A30,062E,063B,0681,0675
0C,0A31,062C,063A,0681,0675
0C,0A32,062B,0639,0680,0673
0C,0A33,062C,0639,067F,0673
0C,0A34,062E,063A,0682,0676
0C,0A35,062E,063C,0682,0676
0C,0A36,062D,063A,0681,0675
0C,0A37,062B,0639,0680,0674
0C,0A38,062A,0638,0680,0673
0C,0A39,062D,063B,0682,0675
0C,0A3A,062D,063B,0682,0676
0C,0A3B,062D,063A,0681,0675
0C,0A3C,062C,0639,0680,0674
0C,0A3D,062B,0638,0680,0673
0C,0A3E,062D,063B,0681,0675
0C,0A3F,062D,063B,0681,0675
0C,0A40,062C,063A,0681,0674
0C,0A41,062C,0638,0680,0673
0C,0A42,062C,0638,067F,0673
0C,0A43,062D,063B,0681,0675
0C,0A44,062F,063C,0681,0675
0C,0A45,062D,063A,0681,0675
0C,0A46,062B,0639,0680,0674
0C,0A47,062B,0638,0680,0673
0C,0A48,062D,063B,0681,0675
0C,0A49,062E,063C,0681,0676
0C,0A4A,062D,063A,0681,0675
0C,0A4B,062C,0639,0680,0674
0C,0A4C,062B,0639,0680,0674
0C,0A4D,062E,063B,0682,0675
0C,0A4E,062E,063C,0682,0675
0C,0A4F,062D,063B,0681,0674
0C,0A50,062C,0639,0681,0673
0C,0A51,062B,0638,067F,0673
0C,0A52,062D,063B,0681,0675
0C,0A53,062E,063C,0682,0676
0C,0A54,062D,063A,0681,0674
0C,0A55,062B,0638,0680,0674
0C,0A56,062B,0638,0680,0673
0C,0A57,062D,063B,0681,0676
0C,0A58,062E,063B,0682,0676
0C,0A59,062E,063A,0681,0674
0C,0A5A,062C,0639,0680,0673
0C,0A5B,062B,0638,0680,0673
0C,0A5C,062D,063B,0681,0675
0C,0A5D,062E,063C,0681,0676
0C,0A5E,062D,063A,0681,0674
0C,0A5F,062B,0639,0680,0673
0C,0A60,062B,0638,067F,0672
0C,0A61,062D,063A,0682,0675
0C,0A62,062E,063C,0682,0675
0C,0A63,062D,063A,0681,0675
0C,0A64,062B,0639,0680,0674
0C,0A65,062C,0638,067F,0673
0C,0A66,062E,063B,0681,0675
0C,0A67,062E,063C,0682,0676
0C,0A68,062D,063A,0681,0675
0C,0A69,062B,0638,0680,0674
0C,0A6A,062B,0638,067F,0673
0C,0A6B,062D,063B,0681,0675
0C,0A6C,062E,063B,0681,0676
0C,0A6D,062D,063A,0681,0675
0C,0A6E,062C,0639,0680,0673
0C,0A6F,062B,0638,067F,0673
0C,0A70,062D,063B,0681,0675
0C,0A71,062D,063C,0682,0675
0C,0A72,062C,0639,0681,0675
0C,0A73,062B,0638,0680,0674
0C,0A74,062B,0638,0680,0673
0C,0A75,062D,063B,0682,0675
0C,0A76,062E,063C,0682,0676
0C,0A77,062D,063A,0681,0675
0C,0A78,062C,0639,0680,0674
0C,0A79,062B,0638,0680,0673
0C,0A7A,062E,063A,0681,0675
0C,0A7B,062E,063B,0681,0676
0C,0A7C,062D,063A,0681,0675
0C,0A7D,062C,0638,0680,0674
0C,0A7E,062B,0638,0680,0673
0C,0A7F,062D,063B,0682,0675
0C,0A80,062E,063C,0682,0676
0C,0A81,062C,063A,0681,0675
0C,0A82,062C,0639,0681,0674
0C,0A83,062B,0638,0680,0673
0C,0A84,062D,063A,0682,0676
0C,0A85,062E,063C,0682,0676
0C,0A86,062D,063A,0681,0675
0C,0A87,062B,0638,0681,0675
0C,0A88,062B,0638,0680,0673
0C,0A89,062D,063B,0682,0675
0C,0A8A,062E,063B,0682,0676
0C,0A8B,062D,063B,0681,0675
0C,0A8C,062C,0639,0680,0673
0C,0A8D,062B,0638,067F,0673
0C,0A8E,062D,063B,0681,0675
0C,0A8F,062E,063B,0681,0675
0C,0A90,062C,063A,0681,0675
0C,0A91,062C,0639,0680,0673
0C,0A92,062B,0638,067F,0673
0C,0A93,062D,063B,0682,0675
0C,0A94,062E,063C,0682,0676
0C,0A95,062D,063B,0681,0675
0C,0A96,062C,0638,0680,0674
0C,0A97,062B,0638,0680,0673
0C,0A98,062D,063B,0681,0675
0C,0A99,062E,063C,0682,0676
0C,0A9A,062D,063B,0681,0675
0C,0A9B,062C,0638,0680,0674
0C,0A9C,062A,0637,0680,0674
0C,0A9D,062D,063A,0681,0675
0C,0A9E,062E,063C,0682,0676
0C,0A9F,062D,063A,0681,0675
0C,0AA0,062C,0639,0680,0674
0C,0AA1,062C,0638,067F,0673
0C,0AA2,062E,063A,0681,0675
0C,0AA3,062E,063C,0681,0676
0C,0AA4,062D,063A,0681,0675
0C,0AA5,062C,0639,0681,0673
0C,0AA6,062B,0639,067F,0672
0C,0AA7,062D,063A,0681,0675
0C,0AA8,062E,063C,0682,0676
0C,0AA9,062D,063B,0681,0675
0C,0AAA,062C,0639,0681,0674
0C,0AAB,062B,0638,0680,0673
0C,0AAC,062D,063B,0681,0675
0C,0AAD,062E,063C,0681,0676
0C,0AAE,062D,063A,0681,0675
0C,0AAF,062C,0639,0680,0673
0C,0AB0,062C,0637,067F,0674
0C,0AB1,062D,063A,0681,0675
0C,0AB2,062E,063C,0682,0676
0C,0AB3,062D,063A,0681,0675
0C,0AB4,062C,0639,0680,0674
0C,0AB5,062B,0638,0680,0672
0C,0AB6,062C,063A,0681,0675
0C,0AB7,062E,063C,0682,0676
0C,0AB8,062D,063A,0681,0675
0C,0AB9,062C,0639,0680,0673
0C,0ABA,062B,0638,0680,0673
0C,0ABB,062D,063A,0681,0675
0C,0ABC,062E,063C,0681,0675
0C,0ABD,062D,063A,0681,0675
0C,0ABE,062D,0639,0680,0674
0C,0ABF,062C,0638,067F,0673
0C,0AC0,062D,063B,0681,0675
0C,0AC1,062E,063B,0681,0675
0C,0AC2,062C,063A,0681,0675
0C,0AC3,062C,0639,0681,0674
0C,0AC4,062C,0638,067F,0673
0C,0AC5,062D,063A,0681,0675
0C,0AC6,062E,063C,0681,0676
0C,0AC7,062D,063B,0681,0675
0C,0AC8,062C,0639,0681,0674
0C,0AC9,062A,0638,0680,0673
0C,0ACA,062D,063B,0681,0675
0C,0ACB,062E,063B,0682,0676
0C,0ACC,062D,063B,0681,0675
0C,0ACD,062C,0639,0680,0673
0C,0ACE,062B,0638,0680,0673
0C,0ACF,062D,063A,0681,0675
0C,0AD0,062E,063C,0681,0676
0C,0AD1,062D,063A,0681,0675
0C,0AD2,062C,0639,0680,0674
0C,0AD3,062B,0638,067F,0673
0C,0AD4,062D,063A,0681,0675
0C,0AD5,062E,063C,0682,0676
0C,0AD6,062D,063A,0681,0675
0C,0AD7,062B,0639,0680,0674
0C,0AD8,062B,0638,0680,0673
0C,0AD9,062D,063A,0681,0675
0C,0ADA,062E,063B,0682,0676
0C,0ADB,062D,063B,0681,0675
0C,0ADC,062C,0639,0680,0673
0C,0ADD,062B,0638,067F,0673
0C,0ADE,062D,063A,0681,0675
0C,0ADF,062F,063C,0682,0676
0C,0AE0,062D,063A,0681,0675
0C,0AE1,062C,0639,0680,0674
0C,0AE2,062C,0638,0680,0673
0C,0AE3,062E,063B,0681,0676
0C,0AE4,062E,063C,0682,0676
0C,0AE5,062D,0639,0681,0675
0C,0AE6,062B,0638,0680,0674
0C,0AE7,062A,0637,067F,0672
0C,0AE8,062E,063A,0680,0675
0C,0AE9,062F,063C,0682,0676
0C,0AEA,062D,063B,0681,0675
0C,0AEB,062C,0638,0680,0673
0C,0AEC,062B,0637,0680,0673
0C,0AED,062D,063A,0681,0675
0C,0AEE,062D,063C,0682,0676
0C,0AEF,062D,063A,0681,0675
0C,0AF0,062C,0639,0680,0674
0C,0AF1,062C,0638,067F,0673
0C,0AF2,062D,063A,0681,0675
0C,0AF3,062E,063C,0682,0676
0C,0AF4,062C,063A,0680,0674
0C,0AF5,062B,0638,0680,0674
0C,0AF6,062B,0638,0680,0673
0C,0AF7,062E,063A,0680,0674
0C,0AF8,062E,063B,0681,0676
0C,0AF9,062E,063C,0681,0675
0C,0AFA,062C,0639,0681,0674
0C,0AFB,062B,0638,0680,0673
0C,0AFC,062C,063A,0681,0675
