73,FF0B,0206,2B06,3806,8006
0C,0B03,062D,063B,0681,0675
0C,0B04,062E,063B,0680,0675
0C,0B05,062C,0639,0680,0674
0C,0B06,062B,0638,0680,0672
0C,0B07,062B,0639,067F,0673
0C,0B08,062D,063A,0681,0675
0C,0B09,062D,063B,0681,0674
0C,0B0A,062D,0639,0680,0674
0C,0B0B,062B,0638,067F,0673
0C,0B0C,062B,0639,067F,0672
0C,0B0D,062D,063A,0680,0674
0C,0B0E,062D,063B,0681,0675
0C,0B0F,062C,0639,0680,0674
0C,0B10,062B,0638,067F,0673
0C,0B11,062B,0638,0680,0673
0C,0B12,062E,063B,0682,0675
0C,0B13,062E,063C,0681,0675
0C,0B14,062C,063A,0681,0674
0C,0B15,062C,0639,0680,0673
0C,0B16,062C,0638,067F,0673
0C,0B17,062D,063B,0680,0675
0C,0B18,062E,063B,0681,0675
0C,0B19,062C,0639,0681,0674
0C,0B1A,062B,0638,0680,0673
0C,0B1B,062B,0638,0680,0673
0C,0B1C,062D,063B,0681,0675
0C,0B1D,062D,063B,0681,0675
0C,0B1E,062C,063A,0680,0673
0C,0B1F,062B,0638,067F,0673
0C,0B20,062B,0638,067F,0673
0C,0B21,062E,063B,0681,0675
0C,0B22,062E,063C,0681,0675
0C,0B23,062C,0639,0680,0674
0C,0B24,062B,0639,0680,0672
0C,0B25,062B,0638,067F,0672
0C,0B26,062C,063A,0681,0675
0C,0B27,062E,063B,0681,0675
0C,0B28,062C,063A,0680,0674
0C,0B29,062B,0639,0680,0672
0C,0B2A,062B,0638,067F,0672
0C,0B2B,062D,063B,0681,0675
0C,0B2C,062E,063C,0681,0675
0C,0B2D,062C,063A,0680,0674
0C,0B2E,062B,0638,067F,0673
0C,0B2F,062B,0638,067F,0673
0C,0B30,062D,063B,0681,0674
0C,0B31,062E,063C,0682,0675
0C,0B32,062D,063A,0681,0674
0C,0B33,062C,0639,0680,0672
0C,0B34,062B,0638,067F,0673
0C,0B35,062C,063B,0681,0675
0C,0B36,062D,063C,0681,0675
0C,0B37,062C,0639,0681,0674
0C,0B38,062B,0638,0680,0673
0C,0B39,062B,0638,067F,0672
0C,0B3A,062D,063A,0681,0675
0C,0B3B,062D,063B,0681,0675
0C,0B3C,062B,0639,0680,0673
0C,0B3D,062A,0638,067F,0672
0C,0B3E,062B,0638,067F,0672
0C,0B3F,062D,063B,0681,0675
0C,0B40,062E,063B,0681,0675
0C,0B41,062C,063A,0680,0674
0C,0B42,062C,0638,0680,0672
0C,0B43,062B,0638,067F,0673
0C,0B44,062E,063B,0681,0675
0C,0B45,062D,063C,0681,0675
0C,0B46,062D,063A,0680,0673
0C,0B47,062B,0638,067F,0672
0C,0B48,062A,0638,0680,0672
0C,0B49,062D,063A,0681,0674
0C,0B4A,062D,063A,0681,0675
0C,0B4B,062C,0639,0680,0674
0C,0B4C,062B,0637,067F,0672
0C,0B4D,062A,0638,067F,0673
0C,0B4E,062D,063B,0681,0674
0C,0B4F,062E,063B,0681,0675
0C,0B50,062C,063A,0681,0674
0C,0B51,062B,0639,0680,0672
0C,0B52,062B,0638,067F,0673
0C,0B53,062D,063B,0681,0674
0C,0B54,062E,063B,0681,0675
0C,0B55,062C,0639,0680,0674
0C,0B56,062B,0638,0680,0673
0C,0B57,062A,0638,0680,0673
0C,0B58,062D,063B,0680,0674
0C,0B59,062D,063B,0681,0675
0C,0B5A,062C,0639,0680,0673
0C,0B5B,062B,0637,067F,0673
0C,0B5C,062B,0638,067F,0672
0C,0B5D,062E,063B,0680,0674
0C,0B5E,062E,063B,0680,0675
0C,0B5F,062D,063A,0680,0673
0C,0B60,062B,0638,0680,0672
0C,0B61,062B,0638,067F,0672
0C,0B62,062D,063A,0680,0674
0C,0B63,062D,063B,0681,0675
0C,0B64,062C,0639,0680,0673
0C,0B65,062B,0638,067F,0673
0C,0B66,062B,0638,067F,0672
0C,0B67,062D,063A,0681,0675
0C,0B68,062D,063B,0681,0675
0C,0B69,062C,0639,0680,0673
0C,0B6A,062A,0637,067F,0672
0C,0B6B,062A,0638,067F,0672
0C,0B6C,062C,063A,0680,0674
0C,0B6D,062E,063C,0681,0675
0C,0B6E,062C,0639,0680,0674
0C,0B6F,062B,0639,0680,0673
0C,0B70,062B,0638,0680,0673
0C,0B71,062D,063B,0681,0675
0C,0B72,062E,063C,0681,0675
0C,0B73,062C,0639,0680,0674
0C,0B74,062B,0638,067F,0672
0C,0B75,062A,0638,067F,0672
0C,0B76,062D,063B,0681,0674
0C,0B77,062D,063B,0681,0675
0C,0B78,062C,0639,0680,0674
0C,0B79,062B,0638,067F,0672
0C,0B7A,062B,0638,067F,0673
0C,0B7B,062D,063B,0681,0674
0C,0B7C,062E,063C,0681,0675
0C,0B7D,062D,0639,0680,0674
0C,0B7E,062B,0638,0680,0672
0C,0B7F,062B,0637,067F,0672
0C,0B80,062D,063A,0681,0675
0C,0B81,062D,063C,0682,0675
0C,0B82,062C,0639,0681,0674
0C,0B83,062B,0638,0680,0673
0C,0B84,062B,0638,067F,0672
0C,0B85,062D,063A,0680,0674
0C,0B86,062E,063B,0681,0675
0C,0B87,062C,063A,0680,0673
0C,0B88,062C,0638,0680,0672
0C,0B89,062A,0637,067F,0673
0C,0B8A,062D,063B,0681,0675
0C,0B8B,062D,063B,0680,0675
0C,0B8C,062C,0639,067F,0674
0C,0B8D,062B,0638,067F,0672
0C,0B8E,062B,0638,067E,0673
0C,0B8F,062E,063A,0681,0675
0C,0B90,062E,063B,0682,0675
0C,0B91,062C,0639,0681,0675
0C,0B92,062B,0638,0680,0673
0C,0B93,062B,0639,0680,0673
0C,0B94,062D,063B,0681,0675
0C,0B95,062D,063B,0681,0675
0C,0B96,062D,063A,0681,0673
0C,0B97,062C,0638,067F,0672
0C,0B98,062A,0638,067E,0672
0C,0B99,062D,063B,0681,0674
0C,0B9A,062E,063B,0681,0675
0C,0B9B,062C,0639,0681,0674
0C,0B9C,062B,0638,0680,0673
0C,0B9D,062B,0638,067F,0673
0C,0B9E,062D,063B,0681,0674
0C,0B9F,062D,063B,0682,0675
0C,0BA0,062C,063A,0681,0674
0C,0BA1,062B,0638,067F,0673
0C,0BA2,062A,0638,0680,0672
0C,0BA3,062D,063B,0681,0674
0C,0BA4,062D,063C,0681,0675
0C,0BA5,062C,063A,0680,0673
0C,0BA6,062B,0638,067F,0672
0C,0BA7,062A,0638,067F,0672
0C,0BA8,062D,063A,0680,0674
0C,0BA9,062E,063C,0680,0674
0C,0BAA,062C,0639,0680,0674
0C,0BAB,062B,0638,0680,0673
0C,0BAC,062B,0639,067F,0672
0C,0BAD,062D,063B,0681,0675
0C,0BAE,062D,063B,0682,0675
0C,0BAF,062C,0639,0680,0673
0C,0BB0,062A,0637,067F,0673
0C,0BB1,062B,0638,0680,0672
0C,0BB2,062D,0639,0681,0675
0C,0BB3,062E,063A,0681,0676
0C,0BB4,062C,0639,0681,0674
0C,0BB5,062B,0638,0680,0672
0C,0BB6,062A,0637,067F,0672
0C,0BB7,062D,063A,0681,0674
0C,0BB8,062E,063B,0680,0675
0C,0BB9,062C,0639,0680,0673
0C,0BBA,062B,0638,067F,0673
0C,0BBB,062B,0639,067E,0672
0C,0BBC,062D,063B,0681,0674
0C,0BBD,062D,063B,0682,0676
0C,0BBE,062D,0639,0680,0674
0C,0BBF,062B,0638,0680,0673
0C,0BC0,062B,0639,067F,0673
0C,0BC1,062C,063A,0681,0674
0C,0BC2,062D,063B,0681,0675
0C,0BC3,062B,0639,0681,0674
0C,0BC4,062B,0638,067F,0672
0C,0BC5,062A,0637,067F,0672
0C,0BC6,062D,063A,0680,0674
0C,0BC7,062D,063B,0681,0675
0C,0BC8,062C,0639,0680,0673
0C,0BC9,062B,0638,0680,0673
0C,0BCA,062B,0639,067F,0672
0C,0BCB,062D,063B,0681,0675
0C,0BCC,062E,063C,0681,0675
0C,0BCD,062C,063A,0680,0673
0C,0BCE,062B,0638,067F,0672
0C,0BCF,062B,0638,0680,0672
0C,0BD0,062D,063A,0681,0675
0C,0BD1,062D,063B,0681,0675
0C,0BD2,062C,063A,0681,0674
0C,0BD3,062B,0638,0680,0672
0C,0BD4,062B,0638,067F,0672
0C,0BD5,062D,063A,0681,0675
0C,0BD6,062D,063C,0681,0676
0C,0BD7,062D,0639,0680,0674
0C,0BD8,062B,0639,0681,0673
0C,0BD9,062B,0638,0680,0673
0C,0BDA,062C,063A,0681,0675
0C,0BDB,062E,063C,0682,0675
0C,0BDC,062D,0639,0680,0674
0C,0BDD,062C,0639,067F,0672
0C,0BDE,062B,0638,067F,0673
0C,0BDF,062D,063B,0681,0674
0C,0BE0,062D,063B,0682,0675
0C,0BE1,062C,0639,0681,0673
0C,0BE2,062B,0639,0680,0672
0C,0BE3,062B,0637,067F,0673
0C,0BE4,062D,063B,0681,0674
0C,0BE5,062E,063C,0681,0675
0C,0BE6,062B,0639,0680,0674
0C,0BE7,062B,0639,0680,0673
0C,0BE8,062B,0638,0680,0672
0C,0BE9,062D,063B,0681,0675
0C,0BEA,062D,063C,0681,0675
0C,0BEB,062C,063A,0681,0674
0C,0BEC,062C,0638,0680,0673
0C,0BED,062A,0637,0680,0673
