12,FF26,8D01,B100,7300,5D01
07,268E,018C,006E,005A,00FD
07,268F,0154,0065,0054,00DD
07,2690,0192,006F,005C,0101
07,2691,0193,006E,0059,0100
07,2692,0161,0065,0052,00E3
07,2693,018A,006D,005A,00FC
07,2694,019A,0071,005D,0105
07,2695,0175,006A,0057,00F0
07,2696,0179,0069,0056,00F2
07,2697,0196,006F,005A,0102
07,2698,0175,006A,0057,00F0
07,2699,0184,006D,005A,00F9
07,269A,01A3,0072,005E,010A
07,269B,016A,0066,0054,00E9
07,269C,015D,0064,0052,00E1
07,269D,01A7,0072,005E,010D
07,269E,0188,006E,005B,00FB
07,269F,0158,0065,0054,00DF
07,26A0,01A5,0071,005C,010B
07,26A1,0175,0068,0055,00EE
07,26A2,0164,0067,0055,00E6
07,26A3,01AD,0074,0060,0110
07,26A4,0185,006D,005A,00F9
07,26A5,016D,0067,0054,00EA
07,26A6,0190,006D,0059,00FE
07,26A7,017C,006B,0058,00F3
07,26A8,0180,006C,005A,00F7
07,26A9,0192,006F,005C,0100
07,26AA,0175,0069,0055,00EF
07,26AB,0180,006A,0056,00F5
07,26AC,017D,006B,0058,00F4
07,26AD,0181,006D,005A,00F7
07,26AE,0188,006E,005A,00FB
07,26AF,0172,0068,0055,00ED
07,26B0,01A1,0070,005B,0108
07,26B1,0180,006B,0058,00F6
07,26B2,015F,0066,0055,00E3
07,26B3,019D,0072,005E,0107
07,26B4,018F,006D,0059,00FE
07,26B5,0178,0069,0055,00F1
07,26B6,0181,006C,0058,00F7
07,26B7,0172,006A,0058,00EF
07,26B8,0192,0070,005C,0101
07,26B9,0181,006B,0057,00F6
07,26BA,0171,0068,0055,00EC
07,26BB,018D,006E,005A,00FD
07,26BC,017B,006B,0059,00F3
07,26BD,0183,006D,005A,00F8
07,26BF,0165,0066,0053,00E5
07,26C0,018A,006D,005A,00FC
07,26C1,019E,0071,005E,0107
07,26C2,016A,0068,0056,00EA
07,26C3,0185,006B,0058,00F8
07,26C4,0196,006E,0059,0102
07,26C5,0174,0069,0056,00EF
07,26C6,017E,006C,0059,00F5
07,26C7,018C,006E,005B,00FD
07,26C8,0172,0068,0055,00EE
07,26C9,0190,006D,0059,00FE
07,26CA,017B,006B,0058,00F3
07,26CB,0170,006A,0058,00EE
07,26CC,0192,006F,005B,0100
07,26CD,0181,006B,0057,00F6
07,26CE,017D,006A,0056,00F4
